feedback_id,rating,feedback_text,feedback_category,sentiment,feedback_date
1159860,4,"Delivery was fine, but the product could be better.",App Experience,Neutral,26-10-23
8809496,3,The packaging was poor.,Customer Service,Negative,05-07-24
2694712,2,Delivery was late and I was unhappy.,Delivery,Negative,14-07-23
7498417,4,"Average experience, could improve.",Delivery,Neutral,14-06-23
3262730,4,"Average experience, could improve.",Delivery,Neutral,25-12-23
6773414,3,I had a bad experience.,Delivery,Negative,10-05-24
7171637,3,"Average experience, could improve.",Product Quality,Neutral,15-11-23
3283932,4,Will definitely order again.,Product Quality,Positive,30-05-24
8199864,4,"Overall good experience, thank you!",Product Quality,Positive,16-07-23
945453,5,Items were in perfect condition.,Delivery,Positive,28-07-23
5730680,5,Items were in perfect condition.,Customer Service,Positive,11-12-23
113770,3,"Delivery was fine, but the product could be better.",Customer Service,Neutral,08-05-23
8086727,5,Very happy with the service!,Delivery,Positive,23-09-23
3180619,2,Items were missing from my order.,Product Quality,Negative,29-03-24
5525089,5,Very fresh and well-packaged.,Product Quality,Positive,09-08-24
478239,3,Not worth the price I paid.,Customer Service,Negative,10-01-24
2088092,2,The packaging was poor.,Delivery,Negative,26-11-23
4421485,4,"Delivery was fine, but the product could be better.",Delivery,Neutral,16-10-24
3129645,2,Delivery was late and I was unhappy.,Delivery,Negative,17-01-24
8616443,3,"It was okay, nothing special.",Delivery,Neutral,10-09-23
1002741,1,Delivery was late and I was unhappy.,Customer Service,Negative,15-07-24
5232827,4,"It was okay, nothing special.",Product Quality,Neutral,25-01-24
716244,4,"Overall good experience, thank you!",Product Quality,Positive,20-06-24
1801673,4,"Delivery was fine, but the product could be better.",Product Quality,Neutral,18-10-23
4393080,5,Items were in perfect condition.,Product Quality,Positive,20-11-23
9347337,4,"Excellent quality, will buy again!",Delivery,Positive,07-05-24
6585928,5,Good selection of products.,Customer Service,Positive,23-04-24
4929568,2,Items were missing from my order.,Product Quality,Negative,21-10-24
6959173,3,Customer service was not helpful.,Product Quality,Negative,04-07-24
7611885,3,"It was okay, nothing special.",App Experience,Neutral,10-03-24
1795388,5,Great prices and fast delivery!,App Experience,Positive,02-02-24
6105898,2,Not worth the price I paid.,Customer Service,Negative,16-06-24
2468637,5,Great prices and fast delivery!,Product Quality,Positive,13-02-24
1423073,5,Will definitely order again.,Delivery,Positive,09-04-24
4632185,3,Not worth the price I paid.,Product Quality,Negative,07-12-23
4420247,4,Will definitely order again.,Product Quality,Positive,21-07-24
4072221,3,"Average experience, could improve.",Delivery,Neutral,16-05-23
7824497,3,Taste was not as expected.,Customer Service,Negative,14-09-23
4309566,3,"Average experience, could improve.",Product Quality,Neutral,07-12-23
701482,2,Delivery was late and I was unhappy.,Product Quality,Negative,30-09-23
4755342,2,Delivery was late and I was unhappy.,Product Quality,Negative,20-02-24
8051225,4,"Delivery was fine, but the product could be better.",Customer Service,Neutral,05-08-23
7506282,3,"It was okay, nothing special.",Delivery,Neutral,19-01-24
683291,5,Will definitely order again.,Delivery,Positive,10-12-23
7247315,2,Taste was not as expected.,Delivery,Negative,26-09-24
4065348,4,"It was okay, nothing special.",App Experience,Neutral,09-04-24
5741563,4,"It was okay, nothing special.",Product Quality,Neutral,29-01-24
6518834,1,Not worth the price I paid.,Product Quality,Negative,28-09-24
9298983,1,Not worth the price I paid.,Delivery,Negative,31-01-24
473292,5,Very happy with the service!,Customer Service,Positive,26-05-24
4246558,4,"Average experience, could improve.",Delivery,Neutral,16-06-23
6116226,3,The product met my expectations.,Delivery,Neutral,25-03-23
4431634,3,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral,30-09-23
5379697,4,The product met my expectations.,App Experience,Neutral,04-05-24
8770972,5,Good selection of products.,App Experience,Positive,12-04-24
5156705,1,The order was incorrect.,Customer Service,Negative,19-07-24
7404702,4,"Average experience, could improve.",Customer Service,Neutral,22-08-24
2831845,3,Product was damaged during delivery.,Product Quality,Negative,11-02-24
2332666,4,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral,20-11-23
8562721,3,Taste was not as expected.,App Experience,Negative,04-05-23
1943750,5,Very happy with the service!,Product Quality,Positive,22-05-24
207462,4,Very fresh and well-packaged.,Product Quality,Positive,30-05-23
3150233,2,Taste was not as expected.,App Experience,Negative,27-12-23
2778967,5,Great prices and fast delivery!,Customer Service,Positive,04-02-24
3748731,5,Customer service was very helpful.,App Experience,Positive,24-10-23
1796172,3,"Nothing to complain about, but nothing exceptional.",App Experience,Neutral,28-12-23
6220082,3,The order was incorrect.,Delivery,Negative,16-01-24
8509910,4,Items were in perfect condition.,Delivery,Positive,09-08-24
2601837,4,"It was okay, nothing special.",Delivery,Neutral,16-08-24
3182946,4,"Average experience, could improve.",Delivery,Neutral,06-07-24
936864,4,"Delivery was fine, but the product could be better.",Customer Service,Neutral,19-07-24
6375482,3,"Delivery was fine, but the product could be better.",Product Quality,Neutral,01-10-24
5904785,2,I had a bad experience.,Delivery,Negative,05-04-23
8521960,5,Very fresh and well-packaged.,Product Quality,Positive,05-12-23
7041516,4,The product met my expectations.,App Experience,Neutral,10-01-24
6157435,2,The packaging was poor.,Delivery,Negative,06-08-23
1247723,4,Good selection of products.,App Experience,Positive,13-03-24
5700999,4,"Average experience, could improve.",Product Quality,Neutral,27-07-23
6222962,3,Items were missing from my order.,Customer Service,Negative,27-09-24
3619827,4,"Delivery was fine, but the product could be better.",Product Quality,Neutral,26-11-23
6486974,1,I had a bad experience.,App Experience,Negative,25-07-23
8510571,4,Good selection of products.,Product Quality,Positive,23-06-23
7820768,2,The packaging was poor.,Customer Service,Negative,12-10-23
3379880,4,"It was okay, nothing special.",Product Quality,Neutral,06-10-24
7036036,4,Items were in perfect condition.,Product Quality,Positive,25-11-23
7899107,2,The packaging was poor.,Customer Service,Negative,27-07-23
8194084,4,Customer service was very helpful.,Product Quality,Positive,05-09-23
1887717,4,"Average experience, could improve.",Customer Service,Neutral,01-11-24
9010621,3,"Delivery was fine, but the product could be better.",Product Quality,Neutral,19-07-23
4669199,4,"Excellent quality, will buy again!",Product Quality,Positive,21-06-23
5068146,3,Very disappointed with the quality.,App Experience,Negative,31-08-24
5560971,5,Very fresh and well-packaged.,Product Quality,Positive,28-12-23
1893053,4,Highly recommended!,Customer Service,Positive,31-05-23
5234515,3,"Average experience, could improve.",Delivery,Neutral,01-04-24
580986,2,Taste was not as expected.,App Experience,Negative,26-04-23
8455467,4,"It was okay, nothing special.",Delivery,Neutral,08-11-23
2007716,4,"Delivery was fine, but the product could be better.",Customer Service,Neutral,11-05-24
9708237,5,Very happy with the service!,Delivery,Positive,17-09-24
4227603,4,Highly recommended!,Product Quality,Positive,17-12-23
654227,2,Taste was not as expected.,App Experience,Negative,10-10-23
7114455,4,"Average experience, could improve.",Product Quality,Neutral,26-09-24
3148730,3,"Average experience, could improve.",App Experience,Neutral,14-07-24
4637528,2,The packaging was poor.,Customer Service,Negative,06-02-24
8730252,2,Items were missing from my order.,Delivery,Negative,07-06-23
6060670,3,"Nothing to complain about, but nothing exceptional.",App Experience,Neutral,07-11-23
4844650,3,Items were missing from my order.,App Experience,Negative,16-03-23
9745124,1,Taste was not as expected.,Delivery,Negative,29-07-24
7548113,4,"Average experience, could improve.",App Experience,Neutral,20-10-24
5623901,4,"It was okay, nothing special.",Customer Service,Neutral,01-01-24
1033430,3,The product met my expectations.,Product Quality,Neutral,26-10-24
390761,4,The product met my expectations.,Customer Service,Neutral,20-03-23
4859714,2,Taste was not as expected.,Delivery,Negative,26-07-24
7224389,4,"Delivery was fine, but the product could be better.",App Experience,Neutral,15-03-24
2957775,4,"Delivery was fine, but the product could be better.",App Experience,Neutral,05-08-24
1861939,4,The product met my expectations.,Delivery,Neutral,22-03-24
8506288,3,Taste was not as expected.,Product Quality,Negative,03-02-24
6192529,2,Taste was not as expected.,Product Quality,Negative,30-04-23
1618838,3,Product was damaged during delivery.,Product Quality,Negative,11-04-24
4586251,5,"Overall good experience, thank you!",Product Quality,Positive,27-09-24
4350650,4,"Delivery was fine, but the product could be better.",Customer Service,Neutral,03-02-24
8477025,3,"Delivery was fine, but the product could be better.",App Experience,Neutral,09-09-23
1952997,4,Items were in perfect condition.,Customer Service,Positive,05-08-24
3708986,3,Very disappointed with the quality.,Customer Service,Negative,29-04-24
5606141,4,"Delivery was fine, but the product could be better.",Delivery,Neutral,24-10-23
9339865,4,Highly recommended!,App Experience,Positive,07-04-23
4858898,3,"Delivery was fine, but the product could be better.",App Experience,Neutral,13-06-24
9230966,5,Customer service was very helpful.,App Experience,Positive,11-07-23
9059940,2,Very disappointed with the quality.,Customer Service,Negative,16-02-24
3954704,4,"Nothing to complain about, but nothing exceptional.",App Experience,Neutral,14-05-24
5651196,4,"Excellent quality, will buy again!",Delivery,Positive,05-06-24
7698385,3,Customer service was not helpful.,Product Quality,Negative,28-08-23
6692319,3,"Delivery was fine, but the product could be better.",Delivery,Neutral,07-01-24
4807430,4,"It was okay, nothing special.",Delivery,Neutral,14-09-23
6541743,4,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral,18-04-24
9853363,4,Good selection of products.,Delivery,Positive,01-11-23
8193270,3,"It was okay, nothing special.",Product Quality,Neutral,30-09-24
327126,5,Good selection of products.,Delivery,Positive,28-03-23
6353752,1,Taste was not as expected.,App Experience,Negative,04-05-23
408309,3,The product met my expectations.,Delivery,Neutral,16-02-24
9691887,3,"Average experience, could improve.",App Experience,Neutral,18-09-24
51560,3,Customer service was not helpful.,Customer Service,Negative,01-09-24
2521458,1,Delivery was late and I was unhappy.,Product Quality,Negative,04-09-24
8390508,5,"Excellent quality, will buy again!",App Experience,Positive,18-06-23
913683,4,Highly recommended!,Product Quality,Positive,13-05-24
1306601,4,Good selection of products.,Customer Service,Positive,12-11-23
1687980,5,Highly recommended!,App Experience,Positive,11-09-24
2866024,3,"Delivery was fine, but the product could be better.",Customer Service,Neutral,17-08-23
5931641,1,The packaging was poor.,Customer Service,Negative,17-02-24
1605595,4,The product met my expectations.,Product Quality,Neutral,06-02-24
25577,4,Good selection of products.,Customer Service,Positive,21-07-24
4258919,5,Items were in perfect condition.,Delivery,Positive,27-07-23
6630006,4,Customer service was very helpful.,App Experience,Positive,22-04-24
9003999,3,"Delivery was fine, but the product could be better.",Delivery,Neutral,04-12-23
9017197,2,Product was damaged during delivery.,App Experience,Negative,21-09-24
8997814,1,Very disappointed with the quality.,Delivery,Negative,30-01-24
116173,4,Will definitely order again.,Delivery,Positive,10-01-24
2204388,3,"It was okay, nothing special.",App Experience,Neutral,12-09-23
7446356,3,"Average experience, could improve.",Product Quality,Neutral,07-01-24
4740952,3,"Nothing to complain about, but nothing exceptional.",App Experience,Neutral,23-08-24
7602818,3,Delivery was late and I was unhappy.,Product Quality,Negative,09-05-24
2703135,3,Items were missing from my order.,Customer Service,Negative,17-07-24
6772284,3,The packaging was poor.,Delivery,Negative,18-03-24
1038308,4,Will definitely order again.,Delivery,Positive,02-09-24
682222,2,Items were missing from my order.,Product Quality,Negative,07-09-23
505569,2,The packaging was poor.,App Experience,Negative,30-09-24
2483109,4,"Delivery was fine, but the product could be better.",Delivery,Neutral,21-03-24
9866743,5,Items were in perfect condition.,Customer Service,Positive,24-05-23
1263890,5,Very fresh and well-packaged.,App Experience,Positive,21-06-24
8519341,1,Delivery was late and I was unhappy.,Product Quality,Negative,05-07-23
4189141,4,Great prices and fast delivery!,App Experience,Positive,08-09-23
2457038,4,Good selection of products.,Product Quality,Positive,13-02-24
2423659,4,Items were in perfect condition.,App Experience,Positive,04-11-24
1347681,4,Highly recommended!,Product Quality,Positive,05-10-23
5028,5,Very fresh and well-packaged.,Product Quality,Positive,10-08-24
9945845,1,Product was damaged during delivery.,App Experience,Negative,07-07-23
8989443,5,Very happy with the service!,Customer Service,Positive,13-12-23
9829351,5,"Excellent quality, will buy again!",Customer Service,Positive,27-06-23
2545302,5,Highly recommended!,Delivery,Positive,04-06-24
4048113,5,Customer service was very helpful.,Product Quality,Positive,19-03-24
6527098,4,Highly recommended!,App Experience,Positive,19-05-23
330848,5,Items were in perfect condition.,Customer Service,Positive,20-04-24
1599236,3,Customer service was not helpful.,App Experience,Negative,29-10-23
3731240,3,The product met my expectations.,Delivery,Neutral,13-12-23
9717024,4,"Excellent quality, will buy again!",Product Quality,Positive,03-10-23
9228480,4,Very fresh and well-packaged.,App Experience,Positive,01-08-23
3178061,4,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral,07-06-23
4690760,2,I had a bad experience.,Customer Service,Negative,24-12-23
5655169,3,Customer service was not helpful.,App Experience,Negative,27-12-23
453884,4,"Delivery was fine, but the product could be better.",App Experience,Neutral,28-10-23
2565975,1,Product was damaged during delivery.,Delivery,Negative,16-01-24
1321752,3,"It was okay, nothing special.",Customer Service,Neutral,16-04-23
7853790,2,I had a bad experience.,App Experience,Negative,13-05-23
9685412,5,Great prices and fast delivery!,Customer Service,Positive,24-01-24
2861565,5,Highly recommended!,Delivery,Positive,14-01-24
7935010,1,Very disappointed with the quality.,Customer Service,Negative,03-05-24
5877818,4,The product met my expectations.,Delivery,Neutral,17-06-24
2674712,2,Product was damaged during delivery.,App Experience,Negative,03-07-23
8635734,1,Very disappointed with the quality.,App Experience,Negative,28-07-23
580890,5,Good selection of products.,App Experience,Positive,13-08-24
6807331,4,Very fresh and well-packaged.,Product Quality,Positive,24-12-23
1500768,5,Very happy with the service!,Customer Service,Positive,09-04-24
289613,5,Items were in perfect condition.,App Experience,Positive,22-06-23
738205,3,Items were missing from my order.,App Experience,Negative,27-10-24
7023379,1,Delivery was late and I was unhappy.,Delivery,Negative,04-08-24
856341,3,Product was damaged during delivery.,Customer Service,Negative,21-04-23
8408157,3,"Average experience, could improve.",Product Quality,Neutral,23-06-23
5069961,3,"Nothing to complain about, but nothing exceptional.",Product Quality,Neutral,09-08-23
8816076,5,"Overall good experience, thank you!",Delivery,Positive,29-10-23
511301,4,"Nothing to complain about, but nothing exceptional.",Customer Service,Neutral,02-08-24
7592648,2,Very disappointed with the quality.,Delivery,Negative,12-03-24
455219,5,Highly recommended!,App Experience,Positive,08-02-24
7609889,4,Good selection of products.,Customer Service,Positive,01-05-24
5841416,4,"It was okay, nothing special.",App Experience,Neutral,21-10-24
4412586,3,"Nothing to complain about, but nothing exceptional.",Product Quality,Neutral,19-08-23
277641,4,"Average experience, could improve.",Product Quality,Neutral,25-08-23
682817,4,"Average experience, could improve.",Product Quality,Neutral,21-12-23
895557,2,Very disappointed with the quality.,Delivery,Negative,12-07-23
7869635,4,"Excellent quality, will buy again!",App Experience,Positive,16-08-23
5955416,5,"Excellent quality, will buy again!",Delivery,Positive,28-06-23
7587526,4,Customer service was very helpful.,Customer Service,Positive,07-06-24
4421683,4,Highly recommended!,App Experience,Positive,04-09-24
9822668,4,"Nothing to complain about, but nothing exceptional.",Customer Service,Neutral,13-10-24
4220793,4,"Average experience, could improve.",Customer Service,Neutral,13-06-23
6523110,4,Good selection of products.,App Experience,Positive,26-04-23
2680223,4,Customer service was very helpful.,App Experience,Positive,03-06-24
6854268,3,"It was okay, nothing special.",Customer Service,Neutral,30-10-24
2486259,1,Delivery was late and I was unhappy.,Product Quality,Negative,18-09-23
1104081,3,I had a bad experience.,Delivery,Negative,08-01-24
4792486,2,The packaging was poor.,Delivery,Negative,21-04-23
2628222,4,Will definitely order again.,Product Quality,Positive,11-10-24
8893890,3,"Delivery was fine, but the product could be better.",Delivery,Neutral,29-01-24
9666020,5,Great prices and fast delivery!,Product Quality,Positive,10-01-24
3428194,1,The order was incorrect.,App Experience,Negative,20-04-24
7566701,4,Items were in perfect condition.,Product Quality,Positive,14-07-24
2127842,3,Very disappointed with the quality.,App Experience,Negative,16-07-24
7361857,3,"Delivery was fine, but the product could be better.",Product Quality,Neutral,16-01-24
7131756,4,Customer service was very helpful.,Customer Service,Positive,11-10-24
3978480,1,Not worth the price I paid.,App Experience,Negative,30-04-23
775093,1,Taste was not as expected.,Product Quality,Negative,09-10-24
9060771,3,"Delivery was fine, but the product could be better.",Product Quality,Neutral,06-09-24
8948120,4,Will definitely order again.,Product Quality,Positive,04-09-23
9289508,2,Items were missing from my order.,Product Quality,Negative,28-06-24
8188900,4,"Nothing to complain about, but nothing exceptional.",Customer Service,Neutral,28-07-23
5686881,3,I had a bad experience.,App Experience,Negative,09-06-23
3842752,3,The product met my expectations.,Product Quality,Neutral,28-10-24
9551379,3,"Delivery was fine, but the product could be better.",Product Quality,Neutral,31-12-23
3823659,4,The product met my expectations.,Product Quality,Neutral,13-05-24
7258622,2,Items were missing from my order.,Product Quality,Negative,20-10-24
569019,4,"Excellent quality, will buy again!",App Experience,Positive,05-10-24
7101790,3,Taste was not as expected.,App Experience,Negative,24-05-23
8868668,4,"Delivery was fine, but the product could be better.",Product Quality,Neutral,25-02-24
1504712,5,"Overall good experience, thank you!",Customer Service,Positive,25-04-23
6592774,3,"Delivery was fine, but the product could be better.",Product Quality,Neutral,29-10-24
4354820,5,Great prices and fast delivery!,Customer Service,Positive,30-12-23
1117265,2,The packaging was poor.,Product Quality,Negative,19-04-24
1162461,5,Will definitely order again.,Product Quality,Positive,15-11-23
4575939,3,"Nothing to complain about, but nothing exceptional.",Product Quality,Neutral,18-07-23
7512447,4,Items were in perfect condition.,Product Quality,Positive,21-02-24
8943085,3,"Delivery was fine, but the product could be better.",Product Quality,Neutral,27-04-24
4229076,5,Customer service was very helpful.,App Experience,Positive,20-02-24
